NCD_id,NCD_vrsn_num,natl_cvrg_type,cvrg_lvl_cd,"NCD_mnl_sect","NCD_mnl_sect_title",NCD_efctv_dt,NCD_impltn_dt,NCD_trmntn_dt,"itm_srvc_desc","indctn_lmtn","xref_txt","othr_txt","trnsmtl_num",trnsmtl_issnc_dt,"trnsmtl_url","chg_rqst_num",pblctn_cd,"rev_hstry",under_rvw,creatd_tmstmp,last_updt_tmstmp,last_clrnc_tmstmp,NCD_lab,"ncd_keyword",NCD_AMA
1,3,True,2,"310.1","Routine Costs in Clinical Trials",2024-05-27 00:00:00,2024-05-27 00:00:00,,"","<p>Effective for items and services furnished on or after July 9, 2007, Medicare covers the routine costs of qualifying clinical trials, as such costs are defined below, as well as reasonable and necessary items and services used to diagnose and treat complications arising from participation in all clinical trials. All other Medicare rules apply.</p>

<p>Routine costs of a clinical trial include all items and services that are otherwise generally available to Medicare beneficiaries (i.e., there exists a benefit category, it is not statutorily excluded, and there is not a national non-coverage decision) that are provided in either the experimental or the control arms of a clinical trial except:</p>
<ul><li>The investigational item or service, itself unless otherwise covered outside of the clinical trial;</li>
<li>Items and services provided solely to satisfy data collection and analysis needs and that are not used in the direct clinical management of the patient (e.g., monthly CT scans for a condition usually requiring only a single scan); and</li>
<li>Items and services customarily provided by the research sponsors free-of-charge for any enrollee in the trial.</li></ul>

<p>Routine costs in clinical trials include:</p>

<ul><li>Items or services that are typically provided absent a clinical trial (e.g., conventional care);</li>
<li>Items or services required solely for the provision of the investigational item or service (e.g., administration of a non-covered chemotherapeutic agent), the clinically appropriate monitoring of the effects of the item or service, or the prevention of complications; and</li>
<li>Items or services needed for reasonable and necessary care arising from the provision of an
investigational item or service&mdash;in particular, for the diagnosis or treatment of complications.</li></ul>
	
<p>This policy does not withdraw Medicare coverage for items and services that may be covered according to local coverage determination (LCDs) or the regulations on category B investigational device exemptions found in 42 CFR 405.201-405.215, 411.15, and 411.406. For information about LCDs, refer to <a href=""https://www.cms.gov/medicare-coverage-database/search.aspx"">https://www.cms.gov/medicare-coverage-database/search.aspx</a> a searchable database of Medicare Administrative Contractor local policies.</p>

<p>For non-covered items and services, including items and services for which Medicare payment is statutorily prohibited, Medicare only covers the treatment of complications arising from the delivery of the noncovered item or service and unrelated reasonable and necessary care. However, if the item or service is not covered by virtue of a national non-coverage policy in Pub. 100-03, National Coverage Determination (NCD) Manual, and is the focus of a qualifying clinical trial, the routine costs of the clinical trial (as defined above) will be covered by Medicare but the non-covered item or service, itself, will not.</p>

<p><strong>A. Requirements for Medicare Coverage of Routine Costs</strong></p> 
 
<p>Any clinical trial receiving Medicare coverage of routine costs must meet the following three requirements:</p> 
 
<ul> 
<li>The subject or purpose of the trial must be the evaluation of an item or service that falls within a Medicare benefit category (e.g., physicians' service, durable medical equipment, diagnostic test) and is not statutorily excluded from coverage (e.g., cosmetic surgery, hearing aids).</li> 
 
<li>The trial must not be designed exclusively to test toxicity or disease pathophysiology. It must have therapeutic intent.</li> 
 
<li>Trials of therapeutic interventions must enroll patients with diagnosed disease rather than healthy volunteers. Trials of diagnostic interventions may enroll healthy patients in order to have a proper control group.</li> 
</ul> 
 
<p>The three requirements above are insufficient by themselves to qualify a clinical trial for Medicare coverage of routine costs. Clinical trials also should have the following desirable characteristics; however, some trials, as described below, are presumed to meet these characteristics and are automatically qualified to receive Medicare coverage:</p> 
 
<ol> 
<li>The principal purpose of the trial is to test whether the intervention potentially improves the participants' health outcomes;</li> 
 
<li>The trial is well-supported by available scientific and medical information or it is intended to clarify or establish the health outcomes of interventions already in common clinical use;</li> 
 
<li>The trial does not unjustifiably duplicate existing studies;</li> 
 
<li>The trial design is appropriate to answer the research question being asked in the trial;</li> 
 
<li>The trial is sponsored by a credible organization or individual capable of executing the proposed trial successfully;</li> 
 
<li>The trial is in compliance with Federal regulations relating to the protection of human subjects; and</li> 
 
<li>All aspects of the trial are conducted according to the appropriate standards of scientific integrity.</li> 
</ol> 
 
<p><strong>B. Qualification Process for Clinical Trials</strong></p> 
 
<p>Using the authority found in &sect;1142 of the Social Security Act (the Act) (cross-referenced in &#167;1862(a)(1)(E) of the Act), the Agency for Healthcare Research and Quality (AHRQ) will convene a multi-agency Federal panel (the ""panel"") composed of representatives of the Department of Health and Human Services research agencies (National Institutes of Health (NIH), Centers for Disease Control and Prevention (CDC), the Food and Drug Administration (FDA), AHRQ, and the Office of Human Research Protection), and the research arms of the Department of Defense (DOD) and the Department of Veterans Affairs (VA) to develop qualifying criteria that will indicate a strong probability that a trial exhibits the desirable characteristics listed above. These criteria will be easily verifiable, and where possible, dichotomous. Trials that meet these qualifying criteria will receive Medicare coverage of their associated routine costs. This panel is not reviewing or approving individual trials. The multi-agency panel will meet periodically to review and evaluate the program and recommend any necessary refinements to the Centers for Medicare & Medicaid Services (CMS).</p> 
 
<p>Clinical trials that meet the qualifying criteria will receive Medicare coverage of routine costs after the trial's lead principal investigator certifies that the trial meets the criteria. This process will require the principal investigator to enroll the trial in a Medicare clinical trials registry, currently under development.</p> 
 
<p>Some clinical trials are automatically qualified to receive Medicare coverage of their routine costs because they have been deemed by AHRQ, in consultation with the other agencies represented on the multi-agency panel to be highly likely to have the above-listed seven desirable characteristics of clinical trials. The principal investigators of these automatically qualified trials do not need to certify that the trials meet the qualifying criteria, but must enroll the trials in the Medicare clinical trials registry for administrative purposes, once the registry is established.</p> 
 
<p>Effective September 19, 2000, clinical trials that are deemed to be automatically qualified are:</p> 
 
<ol> 
<li>Trials funded by NIH, CDC, AHRQ, CMS, DOD, and VA;</li> 
 
<li>Trials supported by centers or cooperative groups that are funded by the NIH, CDC, AHRQ, CMS, DOD, and VA;</li> 
 
<li>Trials conducted under an investigational new drug application (IND) reviewed by the FDA; and</li> 
 
<li>Drug trials that are exempt from having an IND under 21 CFR 312.2(b)(1) will be deemed automatically qualified until the qualifying criteria are developed and the certification process is in place. At that time the principal investigators of these trials must certify that the trials meet the qualifying criteria in order to maintain Medicare coverage of routine costs. This certification process will only affect the future status of the trial and will not be used to retroactively change the earlier deemed status.</li> 
</ol> 
 
<p>  The CMS, through the NCD process, through an individualized assessment of benefits, risks, and research potential, may determine that certain items and services for which there is some evidence of significant medical benefit, but for which there is insufficient evidence to support a &#8220;reasonable and necessary&#8221; determination, are only reasonable and necessary when provided in a clinical trial that meets the requirements defined in that NCD.</p> 
 
<p>Medicare will cover the routine costs of qualifying trials that either have been deemed to be automatically qualified, have certified that they meet the qualifying criteria, or are required through the NCD process, unless CMS's Chief Clinical Officer subsequently finds that a clinical trial does not meet the qualifying criteria or jeopardizes the safety or welfare of Medicare beneficiaries.</p> 
 
<p>Should CMS find that a trial's principal investigator misrepresented that the trial met the necessary qualifying criteria in order to gain Medicare coverage of routine costs, Medicare coverage of the routine costs would be denied under &sect;1862(a)(1)(E) of the Act. In the case of such a denial, the Medicare beneficiaries enrolled in the trial would not be held liable (i.e., would be held harmless from collection) for the costs consistent with the provisions of &sect;&sect;1879, 1842(l), or 1834(j)(4) of the Act, as applicable. Where appropriate, the billing providers would be held liable for the costs and fraud investigations of the billing providers and the trial's principal investigator may be pursued.</p> 
 
<p>Medicare regulations require Medicare+Choice (M+C) organizations to follow CMS NCDs.  This NCD raises special issues that require some modification of most M+C organizations' rules governing provision of items and services in and out of network. The items and services covered under this NCD are inextricably linked to the clinical trials with which they are associated and cannot be covered outside of the context of those clinical trials. M+C organizations therefore must cover these services regardless of whether they are available through in-network providers. M+C organizations may have reporting requirements when enrollees participate in clinical trials, in order to track and coordinate their members' care, but cannot require prior authorization or approval.</p> 
 
<p>  (This NCD last reviewed July 2007.)</p>
","","","12590",2024-04-25 00:00:00,"https://www.cms.gov/files/document/r12590ncd.pdf","13597",25,"<p>04/2024 - The purpose of this Change Request (CR) is to announce a technical change that was made to the National Coverage Determination (NCD) Manual, Publication 100-03, Chapter 1, Part 4, section 310.1 Effective Date 05/27/2024 Implementation Date 05/27/2024 (<a href=""https://www.cms.gov/files/document/r12590ncd.pdf"">TN 12590</a>) (CR13597)</p>

<p>       09/2007 - Effective Date: 07/09/2007. Implementation Date: 10/09/2007. (<a href=""https://www.cms.gov/Regulations-and-Guidance/Guidance/Transmittals/Downloads/R74NCD.pdf"">TN 74</a>) (CR5719)</p>

<p>       09/2000&#160;-&#160;Implemented new policy&#160;covering routine costs in clinical trials. Effective and implementation dates 09/19/2000. (<a href=""https://www.cms.gov/Regulations-and-Guidance/Guidance/Transmittals/Downloads/R126CIM.pdf"">TN 126</a>) (CR 1241)</p>",True,2024-04-25 15:10:07,2025-05-27 12:20:33,2024-04-29 14:58:02.610000000,False,"",False
2,1,True,3,"100.7","Colonic Irrigation",1966-01-01 00:00:00,,,"<p> Colonic irrigation is a procedure to wash out or lavage material on the walls of the bowel to an unlimited distance without inducing defecation. This procedure is distinguished from all types of enemas which are primarily used to induce defecation.</p>","<p> There are no conditions for which colonic irrigation is medically indicated and no evidence of therapeutic value. Accordingly, colonic irrigation cannot be considered reasonable and necessary within the meaning of section 1862(a)(1) of the Act.</p>","","","",,"","",25,"",False,2002-12-11 11:35:16,2020-04-17 14:58:18,2002-12-11 11:37:47,False,"colon cleansing, colonic hydrotherapy, colon hydrotherapy",False
3,1,True,2,"150.1","Manipulation",1966-01-01 00:00:00,,,"","<strong><p> A.  Manipulation of the Rib Cage</p></strong>

<p> Manual manipulation of the rib cage contributes to the treatment of respiratory conditions such as bronchitis, emphysema, and asthma as part of a regimen which includes other elements of therapy, and is covered only under such circumstances.</p>

<strong><p> B.  Manipulation of the Head</p></strong>

<p> Manipulation of the occipitocervical or temporomandibular regions of the head when indicated for conditions affecting those portions of the head and neck is a covered service.</p>
","","","",,"","",25,"",False,2002-11-27 12:37:27,2018-03-08 16:04:10,2002-11-27 12:38:06,False,"",False
4,1,True,3,"240.3","Heat Treatment, Including the Use of Diathermy and Ultra-Sound for Pulmonary Conditions",1966-01-01 00:00:00,,,"","<p>  There is no physiological rationale or valid scientific documentation of effectiveness of diathermy or ultrasound heat treatments for asthma, bronchitis, or any other pulmonary condition and for such purpose this treatment cannot be considered reasonable and necessary within the meaning of section 1862(a)(1) of the Act.</p>","See §<a href=""https://www.cms.gov/medicare-coverage-database/details/ncd-details.aspx?NCDId=58&ncdver=2"">150.5</a> of the NCD Manual.","","",,"","",25,"",False,2002-11-29 14:23:53,2020-06-11 13:23:54,2002-11-29 14:24:02,False,"COPD, Emphysema",False
5,1,True,3,"50.8","Ultrasonic Surgery",1966-01-01 00:00:00,,,"<p>  Reimbursement may be made for ultrasonic surgery when required in the treatment of patients with severe and recurrent episodes of vertigo due to Meniere's syndrome.  This procedure utilizes a machine that produces ultrasonic waves of high intensity and frequency that selectively irradiate certain portions of the inner ear thereby destroying the tissue. The procedure is usually done under local anesthesia, and requires the services of a surgeon and another individual who is responsible for calibrating the electrical equipment, and who assists in observing certain physical changes (e.g., movement of the eyes, ""nystagmus"") indicative of inner ear reaction to the ultrasonic destruction. Except in rare instances the desired result is achieved with one treatment. At present, there are two different approaches being used to apply the ultrasound to the inner ear: one through the lateral semicircular canal and, more recently, a simpler approach from a technical viewpoint, through the round window.</p>
","
","","","",,"","",25,"",False,2002-12-02 14:14:31,2002-12-02 14:14:31,2002-12-02 14:37:53,False,"",False
6,1,True,3,"30.8","Cellular Therapy",1966-01-01 00:00:00,,,"<p> Cellular therapy involves the practice of injecting humans with foreign proteins like the placenta or lungs of unborn lambs. Cellular therapy is without scientific or statistical evidence to document its therapeutic efficacy and, in fact, is considered a potentially dangerous practice.</p>","<p> Accordingly, cellular therapy is not considered reasonable and necessary within the meaning of section 1862(a)(1) of the Act.</p>","","","",,"","",25,"",False,2002-12-02 15:49:19,2020-04-17 14:49:29,2002-12-02 15:49:44,False,"CT, cell transplantation, cytotherapy, cell therapy",False
7,1,True,3,"30.2","Thermogenic Therapy",1966-01-01 00:00:00,,,"<p> Thermogenic therapy which is the production of artificial fever has been in use since 1919 in the treatment of certain types of resistant infectious diseases, rheumatoid arthritis and Sydenham's chorea.</p>","<p> Regardless of the medium by which the fever is induced, this modality is not scientifically accepted for the treatment of any specific disease. Since the advent of potent antibiotics, the procedure has for all practical purposes been replaced as a mode of treatment. Therefore, thermogenic therapy is not considered reasonable and necessary for the treatment of an illness or injury as required by section 1862(a)(1) of the Act. (Of course, where other covered services are needed and it would be reasonable and necessary that they be furnished on an inpatient hospital basis, payment would not be excluded for the inpatient stay, notwithstanding the fact that reimbursement may not be made for thermogenic therapy furnished during the hospital stay.)</p>","","","",,"","",25,"",False,2002-12-11 11:44:13,2020-04-20 11:04:53,2002-12-11 13:54:20,False,"thermogenesis",False
8,1,True,2,"20.18","Carotid Body Resection/Carotid Body Denervation",1966-01-01 00:00:00,,,"","<p>    Carotid body resection is occasionally used to relieve pulmonary symptoms, including asthma, but has been shown to lack general acceptance of the professional medical community. In addition, controlled clinical studies establishing the safety and effectiveness of this procedure are needed. Therefore, all carotid body resections to relieve pulmonary symptoms must be considered investigational and cannot be considered reasonable and necessary within the meaning of section 1862(a)(l) of the Act.  No program reimbursement may be made in such cases.</p>

<p>    However, there is one instance where carotid body resection has been accepted by the medical community as effective. That instance is when evidence of a mass in the carotid body, with or without symptoms, indicates the need for surgery to remove the carotid body tumor.</p>

<p>    Denervation of a carotid sinus to treat hypersensitive carotid sinus reflex is another procedure performed in the area of the carotid body. In the case of hypersensitive carotid sinus, light pressure on the upper part of the neck (such as might be experienced when turning or raising one's head) results in symptoms such as dizziness or syncope due to hypotension and slowed heart rate. Failure of medical therapy and continued deterioration in the condition of the patient in such cases may indicate need for surgery. </p>

<p>Denervation of the carotid sinus is rarely performed, but when elected as the therapy of choice with the above indications, this procedure may be considered reasonable and necessary.</p>","","","",,"","",25,"",False,2002-12-03 15:29:31,2020-04-17 14:48:46,2002-12-03 15:30:03,False,"CBD, heart failure",False
9,1,True,1,"80.10","Phaco-Emulsification Procedure - Cataract Extraction",1966-01-01 00:00:00,,,"","<p> In view of recommendations of authoritative sources in the field of ophthalmology, the subject technique is viewed as an accepted procedure for removal of cataracts. Accordingly, program reimbursement may be made for necessary services furnished in connection with cataract extraction utilizing the phaco-emulsification procedure.</p>","","","",,"","",25,"",False,2002-12-03 17:33:26,2020-04-20 10:44:24,2002-12-03 17:33:37,False,"Phacoemulsification cataract surgery, phacoemulsification",False
11,2,True,3,"30.3","Acupuncture",2020-01-21 00:00:00,2020-06-24 00:00:00,,"<br><p><strong>A. General</p></strong>
<p>Acupuncture is the selection and manipulation of specific acupuncture points by a variety of needling and non-needling techniques.</p>","<br><p><strong>B. Nationally Covered Indications</p></strong>
<p>Effective for claims with dates of service on and after January 21, 2020, acupuncture is only covered for chronic low back pain under section 1862(a)(1)(A) of the Social Security Act (the Act). See National Coverage Determination section 30.3.3 for specific coverage criteria.</p>
<p><strong>C. Nationally Non-Covered Indications</p></strong>
<p>Medicare reimbursement for acupuncture, as an anesthetic, or as an analgesic or for other therapeutic purposes, may not be made unless the specific indication is excepted. All indications for acupuncture outside of NCD section 30.3.3 remain non-covered.</p>
<p><strong>D. Other</p></strong>
<p>N/A</p>
<p>(This NCD last reviewed January 2020.)</p>","","","10128",2020-05-08 00:00:00,"https://www.cms.gov/files/document/R10128NCD.pdf","11755",25,"<p>05/2020 - The purpose of this change request is to inform MACs that CMS will cover acupuncture for chronic low back pain (cLBP) effective for claims with dates of service on and after January 21, 2020. (<a href=""https://www.cms.gov/files/document/R10128NCD.pdf"">TN 10128</a>) (CR11755)</p>",True,2020-05-08 14:48:53,2022-05-25 15:00:05,2021-08-25 17:03:52.937000000,False,"",False
