NCD_id,NCD_vrsn_num,bnft_ctgry_cd,creatd_tmstmp,last_updt_tmstmp
1,3,1,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,2,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,3,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,4,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,5,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,6,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,7,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,8,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,9,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,10,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,11,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,12,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,13,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,14,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,15,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,16,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,17,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,18,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,19,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,20,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,21,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,22,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,23,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,24,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,25,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,26,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,27,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,28,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,29,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,30,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,31,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,32,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,33,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,34,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,35,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,36,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,37,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,38,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,39,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,40,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,41,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,42,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,43,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,44,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,45,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,46,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,47,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,48,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,49,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,50,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,51,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,52,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,53,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,54,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,55,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,56,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,57,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,58,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,59,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,60,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,61,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,62,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,63,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,64,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,65,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,66,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,67,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,68,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,69,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,70,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,71,2025-05-27 12:20:33,2025-05-27 12:20:33
1,3,72,2025-05-27 12:20:33,2025-05-27 12:20:33
2,1,52,2020-04-17 14:58:18,2020-04-17 14:58:18
3,1,52,2018-03-08 16:04:10,2018-03-08 16:04:10
4,1,52,2020-06-11 13:23:54,2020-06-11 13:23:54
